,persona_id,anio,edad,producciones_ult_4_anios,categoria_conicet_id,categoria_conicet_descripcion
0,6522,2011,88,8,5.0,Investigador superior
1,63317,2011,85,0,-1.0,No pertenece a Conicet
2,18569,2011,84,11,-1.0,No pertenece a Conicet
3,9442,2011,84,19,-1.0,No pertenece a Conicet
4,44842,2011,84,28,-1.0,No pertenece a Conicet
5,15685,2011,83,12,-1.0,No pertenece a Conicet
6,29049,2011,83,1,-1.0,No pertenece a Conicet
7,15407,2011,83,9,-1.0,No pertenece a Conicet
8,15238,2011,83,22,-1.0,No pertenece a Conicet
9,59467,2011,83,13,-1.0,No pertenece a Conicet
